Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
secrete,11,11,11,11,0.22,0.13,1.0792,1.0792
secreted,12,11,12,11,0.24,0.13,1.1139,1.0792
secretes,3,3,3,3,0.06,0.04,0.6021,0.6021
secreting,5,5,5,5,0.1,0.06,0.7782,0.7782
secretion,13,12,13,12,0.25,0.14,1.1461,1.1139
secretions,23,17,23,17,0.45,0.2,1.3802,1.2553
secretive,68,62,67,61,1.33,0.74,1.8388,1.7993
secretiveness,2,2,2,2,0.04,0.02,0.4771,0.4771
secretly,260,237,252,232,5.1,2.83,2.4166,2.3766
secretor,2,2,2,2,0.04,0.02,0.4771,0.4771
secrets,1217,850,1145,821,23.86,10.13,3.0856,2.9299
secs,6,6,6,6,0.12,0.07,0.8451,0.8451
sect,37,25,29,22,0.73,0.3,1.5798,1.415
sectarian,2,2,2,2,0.04,0.02,0.4771,0.4771
section,1394,927,1135,818,27.33,11.05,3.1446,2.9675
sectional,14,10,11,9,0.27,0.12,1.1761,1.0414
sectionals,12,5,11,4,0.24,0.06,1.1139,0.7782
sectioned,5,4,4,3,0.1,0.05,0.7782,0.699
sections,127,109,119,103,2.49,1.3,2.1072,2.0414
sector,360,216,273,183,7.06,2.58,2.5575,2.3365
sectors,33,28,29,24,0.65,0.33,1.5315,1.4624
sects,13,10,12,10,0.25,0.12,1.1461,1.0414
secular,25,20,25,20,0.49,0.24,1.415,1.3222
Secunda,11,1,0,0,0.22,0.01,1.0792,0.301
Secundus,2,1,0,0,0.04,0.01,0.4771,0.301
secure,1241,842,1038,749,24.33,10.04,3.0941,2.9258
secured,262,219,256,213,5.14,2.61,2.42,2.3424
securely,29,28,29,28,0.57,0.33,1.4771,1.4624
secures,13,10,11,8,0.25,0.12,1.1461,1.0414
securing,61,55,50,45,1.2,0.66,1.7924,1.7482
securities,70,50,41,32,1.37,0.6,1.8513,1.7076
security,4810,2046,3768,1785,94.31,24.39,3.6822,3.3111
sed,15,12,8,8,0.29,0.14,1.2041,1.1139
sedan,90,71,83,64,1.76,0.85,1.959,1.8573
sedans,7,7,6,6,0.14,0.08,0.9031,0.9031
sedate,64,58,61,55,1.25,0.69,1.8129,1.7709
sedated,85,73,78,68,1.67,0.87,1.9345,1.8692
sedating,2,2,2,2,0.04,0.02,0.4771,0.4771
sedation,58,45,58,45,1.14,0.54,1.7709,1.6628
sedative,130,112,122,107,2.55,1.34,2.1173,2.0531
sedatives,36,34,33,31,0.71,0.41,1.5682,1.5441
sedentary,9,8,7,6,0.18,0.1,1,0.9542
Seder,82,16,17,6,1.61,0.19,1.9191,1.2304
Seders,3,1,0,0,0.06,0.01,0.6021,0.301
sedge,6,5,5,4,0.12,0.06,0.8451,0.7782
sedges,2,2,2,2,0.04,0.02,0.4771,0.4771
sediment,21,12,21,12,0.41,0.14,1.3424,1.1139
sedimentary,4,4,4,4,0.08,0.05,0.699,0.699
sedimentation,2,2,2,2,0.04,0.02,0.4771,0.4771
sediments,3,3,3,3,0.06,0.04,0.6021,0.6021
sedition,23,11,14,9,0.45,0.13,1.3802,1.0792
seditious,8,7,7,6,0.16,0.08,0.9542,0.9031
seduce,176,134,157,127,3.45,1.6,2.248,2.1303
seduced,95,84,94,83,1.86,1,1.9823,1.9294
seducer,20,11,17,9,0.39,0.13,1.3222,1.0792
seduces,17,13,16,13,0.33,0.15,1.2553,1.1461
seducing,49,44,46,42,0.96,0.52,1.699,1.6532
seduction,50,44,43,38,0.98,0.52,1.7076,1.6532
seductive,38,37,35,34,0.75,0.44,1.5911,1.5798
